index,run_time,imdb_rating,votes,gross_total
1.0,175,9.2,1860471,134.97
2.0,118,8.6,1435344,130.74
3.0,124,8.7,1294805,290.48
4.0,142,9.3,2683302,28.34
5.0,146,8.4,1025560,44.02
6.0,102,8.5,574092,1.02
7.0,133,8.7,1010102,112.0
8.0,115,8.4,969143,248.16
9.0,201,9.0,1849082,377.85
10.0,121,8.6,1367430,322.74
11.0,152,9.0,2656768,534.86
12.0,202,9.0,1273349,57.3
13.0,137,8.4,720623,85.16
14.0,195,9.0,1357621,96.9
15.0,148,8.8,2356293,292.58
16.0,178,8.8,1878557,315.54
17.0,117,8.5,885635,78.9
18.0,121,8.2,269346,25.0
19.0,117,8.1,773425,32.87
20.0,127,8.6,1655745,100.13
21.0,147,8.5,669994,83.47
22.0,96,9.0,792729,4.36
23.0,179,8.8,1669715,342.55
24.0,137,8.6,1101850,204.84
25.0,131,8.3,1056750,309.13
26.0,132,8.2,887967,83.01
27.0,238,8.2,317621,198.68
28.0,114,8.2,836871,28.26
29.0,154,8.9,2058574,107.93
30.0,161,8.2,222540,44.91
31.0,88,8.5,1060900,422.78
32.0,136,8.3,330232,13.28
33.0,112,8.5,493926,36.76
34.0,110,8.5,1164087,19.5
35.0,116,8.5,1208582,210.61
36.0,119,8.3,444359,1.59
37.0,145,8.7,1164128,46.84
38.0,113,8.4,1241252,25.54
39.0,122,8.4,1157536,130.1
40.0,139,7.7,301756,148.48
41.0,142,8.8,2082477,330.25
42.0,103,8.3,244548,8.82
43.0,178,8.4,1040416,75.6
44.0,169,8.6,1394262,216.54
45.0,133,8.0,517528,178.8
46.0,118,8.0,683379,138.8
47.0,149,8.3,671980,56.95
48.0,111,8.2,1119120,70.1
49.0,144,7.2,10748,3.3
50.0,178,8.8,763678,6.1
51.0,122,8.3,759411,33.23
52.0,87,8.5,244162,0.16
53.0,102,7.7,458613,44.59
54.0,116,8.3,745546,46.36
55.0,102,8.3,845362,3.64
56.0,139,8.8,2128902,37.03
57.0,122,8.2,977336,74.28
58.0,165,8.4,1557890,162.81
59.0,109,7.9,503642,35.55
60.0,111,8.1,741322,206.45
61.0,137,8.4,391480,11.29
62.0,130,8.5,1336235,53.09
63.0,132,8.2,1125038,70.51
64.0,130,8.2,329110,8.49
65.0,130,8.6,758914,7.56
66.0,100,7.8,35528,50.09
67.0,98,8.1,681256,24.61
68.0,127,7.9,634357,124.99
69.0,120,8.0,848344,141.32
70.0,128,8.3,404626,3.2
71.0,93,8.1,690138,16.5
72.0,169,8.6,1835790,188.02
73.0,109,8.2,428474,13.78
74.0,93,8.1,173206,0.45
75.0,129,8.0,621205,57.14
76.0,116,8.6,697226,57.6
77.0,150,8.5,834842,32.57
78.0,188,8.0,315037,22.46
79.0,164,8.4,1708002,448.14
80.0,138,7.8,933771,936.66
81.0,161,7.8,667864,258.37
82.0,120,8.1,1006158,154.06
83.0,134,8.1,703824,56.67
84.0,127,8.2,758057,197.17
85.0,107,7.7,315173,45.51
86.0,153,8.3,1453288,120.54
87.0,151,8.5,1328252,132.38
88.0,135,8.2,935549,170.74
89.0,112,7.9,685403,115.65
90.0,121,7.5,89819,40.16
91.0,138,7.9,459918,90.14
92.0,157,7.8,172759,28.97
93.0,138,8.2,585555,64.62
94.0,170,8.3,658033,67.44
95.0,106,8.5,1087832,23.34
96.0,127,8.1,178888,16.22
97.0,108,8.3,1011004,34.4
98.0,87,8.5,186059,0.02
99.0,136,8.7,1916083,171.48
